Position,Youtube title,Artist,Track title,Spotify URL
1,Minnie Riperton Les Fleurs,Minnie Riperton,Les Fleurs,spotify:track:5ZBZSepIdSYbPaTSZLvZBU
2,heart love,Ismar Vehabovic,I Love Your Heart - Original Mix,spotify:track:0y7Lqq4QvuQcLkZViejvXr
3,Aphrodite's Child The Four Horsemen,Aphrodite's Child,The Four Horsemen,spotify:track:7jl7JwROOrvf0yOLF4AKfI
4,This Will Be Our Year The Zombies,The Zombies,This Will Be Our Year,spotify:track:02KpkaZbiutsR0ucxce4Sh
5,Le Orme Ad Gloriam,Le Orme,Ad Gloriam,spotify:track:5r0l5YdyIIjxRF5B8O3YbT
6,Marlena Shaw California Soul,Marlena Shaw,California Soul,spotify:track:6S7PklMjEABORVAVCJieET
7,jeannie piersol the nest,,,
8,Koushik Battle Rhymes for Battle Times,Koushik,Battle Rhymes For Battle Times,spotify:track:0NUQ2MOitWlFUgsPzpAyWr
9,Madvillain Supervillain Theme Madvillainy Full Album,,,
10,Main Source Live At The Barbeque Nas Akinyele Joe Fatal,,,
11,Sonny Sharrock Blind Willie Black Woman,Sonny Sharrock,Blind Willie,spotify:track:2zEWjJxi0zQv4yKhB8fxZn
12,Gloria Ann Taylor Love is a hurting thing,,,
13,Journey In Satchindananda,,,
14,Shalimar Baby Let's Dance Together,Kittu,Baby Let's Dance Together - Shalimar / Soundtrack Version,spotify:track:5t3fVyBhACUMsxTmP9Ldqp
15,Manfred Mann one way glass,Manfred Mann Chapter 3,One Way Glass,spotify:track:374ngSkLm31eDGguT6GzQk
16,Gary Davis The Professor Here,Gary Davis,The Professor Here,spotify:track:5PNbxF98bOkqi8MnAbB0h7
17,Olmal M Olmamal M B lent Orta gil Kadir nan r M jde Ar,,,
18,Canned Heat On The Road Again HQ,,,
19,Antena Camino Del Sol,Antena,Camino del Sol,spotify:track:164x73EfS67eCWhm2MvHgP
20,Arthur Russell In The Light of The Miracle,Lonnie Holley,In The Light Of The Miracle (Interlude),spotify:track:0zZcowaOl6u5qMpCOZ9tRs
21,Nina Simone 22nd Century,Nina Simone,22nd Century,spotify:track:0jwarkgb5rAyYE70y1ma4m
22,My Bloody Valentine Swallow,My Bloody Valentine,Swallow,spotify:track:4lYac7OxuhaKYV75XDkRBS
23,Four Tet 'Glasshead',Four Tet,Glasshead,spotify:track:7F1iwsAeDcplnk8FDyNb63
24,Sidney Owens North South Connection Sputnik Vinyl YouTub,,,
25,Thomas Mapfumo Shumba,Thomas Mapfumo,Shumba Dzenhabvu (The Lions Of Soccer),spotify:track:6Bki69MU365FUXvyGX2ACG
26,Wire Outdoor Miner 7,,,
27,Celia Na Boca Do Sol,Celia,Na Boca do Sol,spotify:track:60MZFihVOUinG6FY6ZI9l2
28,I LOVE HOW YOU LOVE ME The Paris Sisters,The Paris Sisters,I Love How You Love Me,spotify:track:4gYnBYLtYTbzxbZ0NCiGdv
29,Demon Fuzz Disillusioned Man,Demon Fuzz,Disillusioned Man,spotify:track:4dRbU9UACEfbcsarUcJSGX
30,Baby Huey Hard Times,Baby Huey & The Baby Sitters,Hard Times,spotify:track:7ycU5Bxfn2fIZjXJypfdRM
31,rail band nanthan,,,
32,Skye ain't no need,,,
33,DIZZY K be my friend,,,
34,Boz Scaggs Lowdown,Boz Scaggs,Lowdown,spotify:track:20MxJN12WEqU5eWsuCrwM5
35,Dr Philter Banx High Heels And Mirrored Thighs Vinyl,,,
36,Pheeroan Ak Laff House of Spirit Mirth 3 in 1,,,
37,CALUNG DARSO ARARATEUL,,,
38,Jean Luc Ponty Computer Incantations for World Peace,Jean-Luc Ponty,Computer Incantations For World Peace,spotify:track:13UMkdShZzPjVmqxrrlUmi
39,Basstone house nation mix,Sole Fusion,Basstone - House Nation Mix,spotify:track:4I1lgsenhoV8ThVZ1kw8Yv
40,Dem 2 Broke My Heart,,,
41,st germain alabama blues todd edwards dub mix,,,
42,D2 45rpm Raga Malkauns Charanjit Singh Synthesizing Ten Ragas to a Disco Beat,,,
43,The other people place Let me be me,The Other People Place,Let Me Be Me,spotify:track:47zkCLr3a9kM4wGNEbiJzh
44,Missy Elliott ft Timbaland Nicole Wray Mocha Hit Em Wit Da Hee remix,,,
45,Warren G Regulate ft Nate Dogg,,,
46,Misery Train,Conduits,Misery Train,spotify:track:6mbFJCmhWjZgC9cjZi3cy0
47,J Dilla Fuck the Police,,,
48,Superthug Noreaga HD and uncensored,,,
49,Gang Starr Credit is Due,Gang Starr,Credit Is Due,spotify:track:0NKFZi9RWmbo7i6u6BCRDe
50,Kanye West Livin' a Movie,,,
51,BURUNDI BLACK Burundi Black,Burundi Black,Burundi Black - Rusty Egan First Remix,spotify:track:07hQVmI0cJxzbVBtZDKtnn
52,Codek Tim toum,,,
53,Rotary Connection Want You To Know,Rotary Connection,Want You To Know,spotify:track:3S97Ihwrb5YJdNZrkKHHI5
54,Emeralds Genetic,Emeralds,Genetic,spotify:track:1LrhDHlsMNlMZ6CNG7Kfkl
55,Harmonia Watussi,Harmonia,Watussi,spotify:track:36gMESkRYLItr52xI4PoLD
